method,task,dataset,scene,jsr,textual_only_p_roc,clip_gallery_only_p_roc,gate_clip_beta0.25_p_roc,resnet18_layer2_gallery_only_p_roc,gate_resnet18_layer2_beta0.25_p_roc,gate_resnet18_layer2_beta0.5_p_roc,gate_resnet18_layer2_beta1_p_roc,gate_resnet18_layer2_beta2_p_roc,resnet18_layer3_gallery_only_p_roc,gate_resnet18_layer3_beta0.25_p_roc,gate_resnet18_layer3_beta0.5_p_roc,gate_resnet18_layer3_beta1_p_roc,gate_resnet18_layer3_beta2_p_roc,formal_baseline_p_roc,delta_textual_only_p_roc_vs_formal,delta_clip_gallery_only_p_roc_vs_formal,delta_gate_clip_beta0.25_p_roc_vs_formal,delta_resnet18_layer2_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer2_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer2_beta1_p_roc_vs_formal,delta_gate_resnet18_layer2_beta2_p_roc_vs_formal,delta_resnet18_layer3_gallery_only_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.25_p_roc_vs_formal,delta_gate_resnet18_layer3_beta0.5_p_roc_vs_formal,delta_gate_resnet18_layer3_beta1_p_roc_vs_formal,delta_gate_resnet18_layer3_beta2_p_roc_vs_formal
seg_resnet_gallery_fusion,seg,chirp_signal,TimeSquare_spectrum,m30db,96.92736478736732,94.62739961228469,96.18861069109597,95.22676646550592,97.15768906711088,96.51369834082564,95.740716043418,95.11901070259083,94.9149045119964,96.60232566795978,95.44738628792511,94.04453895066989,92.86734056222721,94.5948,2.3325647873673176,0.032599612284684554,1.5938106910959675,0.6319664655059114,2.5628890671108735,1.9188983408256348,1.1459160434179978,0.5242107025908211,0.3201045119963908,2.0075256679597686,0.8525862879251065,-0.5502610493301177,-1.7274594377727936
seg_resnet_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m10db,98.59517158472107,99.32111121932618,99.10087876879463,99.30636592324986,99.14857340119335,99.15863342820077,99.10466984633386,99.02550399057486,98.58100498235763,98.91282135744682,98.7835954251195,98.49213944982837,98.15157414017769,99.327,-0.7318284152789261,-0.0058887806738141535,-0.22612123120536864,-0.020634076750141617,-0.17842659880665224,-0.16836657179922554,-0.2223301536661353,-0.30149600942513644,-0.7459950176423717,-0.41417864255318193,-0.5434045748804976,-0.8348605501716264,-1.1754258598223117
seg_resnet_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m20db,98.48717838671634,98.98783004038498,99.15221431856784,99.10606923820384,99.06404276466625,99.05525079398649,98.98351085298134,98.88825872883281,98.42971997417915,98.93742171255411,98.76406529801245,98.36411259188894,97.91427155463339,98.9841,-0.4969216132836607,0.003730040384979816,0.1681143185678451,0.12196923820384598,0.0799427646662565,0.07115079398649016,-0.0005891470186583092,-0.09584127116718832,-0.5543800258208478,-0.04667828744588576,-0.2200347019875437,-0.6199874081110579,-1.0698284453666105
seg_resnet_gallery_fusion,seg,chirp_signal,Gymnasium_spectrum,m30db,83.55043992157619,77.0101802263491,83.83052674957332,85.80778784248966,86.87120080032345,86.27401996524779,85.50804234885145,84.88352688433045,84.87632517220732,87.7603912804305,86.5385559638132,85.23832581801756,84.29288205402415,77.3628,6.187639921576192,-0.35261977365088626,6.46772674957333,8.444987842489667,9.508400800323457,8.911219965247795,8.145242348851454,7.5207268843304576,7.5135251722073235,10.397591280430504,9.175755963813202,7.8755258180175645,6.930082054024155
seg_resnet_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m10db,74.5890900254702,64.75153393051497,71.44844096657452,72.8168180820159,73.19514339104683,70.39566872667888,67.98868232877858,66.44231649105672,78.8042048229181,77.61151519804457,75.65128045823201,73.68046956427979,72.35903317710695,65.6026,8.986490025470204,-0.8510660694850287,5.845840966574528,7.214218082015904,7.592543391046831,4.793068726678882,2.386082328778585,0.8397164910567199,13.2016048229181,12.008915198044576,10.048680458232013,8.077869564279794,6.756433177106956
seg_resnet_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m20db,75.92190740579343,64.08826880264284,75.34695624773231,76.59154271533373,79.74844035649869,77.18373468736073,74.70112776619183,73.0607656287,82.49730781744627,82.3677081833484,81.17398450769407,79.54014807172824,78.33816074873596,64.9857,10.93620740579344,-0.8974311973571503,10.361256247732314,11.605842715333736,14.762740356498696,12.198034687360732,9.715427766191837,8.075065628700003,17.511607817446276,17.382008183348404,16.18828450769408,14.554448071728245,13.352460748735965
seg_resnet_gallery_fusion,seg,dsss_signal,WeaponMuseum_spectrum,m30db,71.96393615435196,77.73154978487659,85.29055051718325,87.01348202657854,85.68804719484126,86.35509892383895,85.97014792231373,85.50371737855767,87.32043056008602,86.05990978757923,86.40863252557665,85.6722161060808,84.99268951978681,78.1759,-6.211963845648043,-0.4443502151234071,7.11465051718325,8.837582026578545,7.512147194841262,8.179198923838953,7.79424792231373,7.327817378557668,9.144530560086025,7.884009787579231,8.232732525576651,7.496316106080798,6.816789519786809
seg_resnet_gallery_fusion,seg,dsss_signal,Playground_spectrum,m10db,70.12630795312738,68.65159579478677,68.96383683556064,71.03102913804585,67.47601336742095,64.3450430504343,61.92568011630547,60.47655034930588,79.47813776946069,74.27123747759623,72.6842490502134,71.11143324788725,70.0824429413848,68.9937,1.1326079531273763,-0.34210420521323215,-0.029863164439362322,2.0373291380458483,-1.517686632579057,-4.648656949565705,-7.068019883694532,-8.517149650694122,10.484437769460683,5.277537477596226,3.6905490502133915,2.1177332478872444,1.088742941384794
seg_resnet_gallery_fusion,seg,dsss_signal,Playground_spectrum,m20db,74.4579401591887,66.68548115509624,71.84861982422478,73.30561299231455,74.10348079105158,70.75469960067541,68.08998672116925,66.46169757715096,82.89934710873275,80.42646433882395,78.89998581598752,77.24256445961242,76.1008567183062,67.2504,7.207540159188696,-0.5649188449037581,4.598219824224785,6.0552129923145515,6.853080791051582,3.5042996006754095,0.8395867211692547,-0.7887024228490418,15.648947108732756,13.176064338823949,11.649585815987521,9.992164459612425,8.850456718306205
seg_resnet_gallery_fusion,seg,dsss_signal,Playground_spectrum,m30db,73.7890524052515,75.30888013425296,81.45033196796703,80.37459875451025,80.40416677667864,79.10371264203746,77.47477513050742,76.29941844103415,86.09618037232649,84.67744908959595,84.15826718392718,83.00308166109815,82.10027972225366,75.7713,-1.9822475947485003,-0.4624198657470373,5.679031967967035,4.603298754510249,4.6328667766786396,3.3324126420374682,1.703475130507428,0.5281184410341524,10.32488037232649,8.906149089595957,8.386967183927183,7.231781661098154,6.3289797222536635
